# Unitary testing: test vectors for 7 segments decoder
# each input and output of the circuit must be specified in the first line of the file : port_name1[port_size1] port_name2[port_size2] ...

A[32] B[32] Shift[5] CarryIn[1] Codop[4] S[32] Flags[4]

# and then you can list the test vectors. Values are separated by spaces

# here I recall the list of the inputs and outputs :
#    					inputs	   							outputs 
# A                              B                                Sh    Ca Co   S                                Fl	
00000000000000001000110000011011 01000011001010011111010011100001 01000 1 0000  00000000000000001000010000000001 0000
01000011001010011111010011100001 11000101000010110101011011100010 01100 0 0001  10000110001000101010001000000011 1000
11000101000010110101011011100010 10100010101011010111110010111101 10100 1 0010  11001011110100000000000000000000 1010
10100010101011010111110010111101 11100111000101110110001010000000 11111 0 0011  00000000000000000000000000000001 0010
11100111000101110110001010000000 00010010100110100011101010101000 01001 0 0100	00000000000010010100110100011101 0000
00010010100110100011101010101000 01110101111101000001100100101000 11000 1 0101  10001000100011100101001111010001 1000
00010101111101000001100100101000 00110010110001111111000110101010 01110 1 0110  00011100110100111101100010000010 0000
00110010110001111111000110101010 11001101110001101100111101000110 00101 0 0111  00110110011011100011011001111010 0010
11001101110001101100111101000110 11111011111011111001100001011000 00001 0 1000  11001001110001101000100001000000 1000
11111011111011111001100001011000 01000110111111111001010111001110 01101 1 1001  00000100000100000110011110101000 0010
01000110111111111001010111001110 10010000010010010111111010111111 01011 1 1010  01001001010010011110100011110001 0001
10010000010010010111111010111111 00101110111100011011000110110100 01110 1 1011  10111111001110110011000001110011 1001
00101110111100011011000110110100 00100110111110111011111101000111 00101 1 1100  00101110111110111011111111110111 0000
00100110111110111011111101000111 00000000000000000000000000000001 01000 1 1101  00100110111110111011111101000111 0000
01101110010000011011010011101110 11111000011010010001010010010000 10101 1 1110  10010000001010000000000000010000 1000
11111000011010010001010010010000 01100001100101110011011000001010 01101 0 1111  00000111100101101110101101101111 0000



# 01100001100101110011011000001010  01111011011111111110110101000011  01111  0  0000
# 01111011011111111110110101000011  10111010010010011111101100000100  10010  1  0001
# 10111010010010011111101100000100  01000001010010110110000110000011  11110  1  0010
# 01000001010010110110000110000011  00011110000010000001111001110011  11110  0  0011
# 00011110000010000001111001110011  11101110001110000100011110001001  01110  1  0100
# 11101110001110000100011110001001  00010101011101011010011000101011  00101  0  0101
# 00010101011101011010011000101011  10100000010011010011110000001001  11011  0  0110
# 10100000010011010011110000001001  10010001010010011011011100111011  00010  1  0111
# 10010001010010011011011100111011  01110011010101101110111101100101  10000  0  1000
# 01110011010101101110111101100101  11100000010100000011011111011010  00000  0  1001
# 11100000010100000011011111011010  00111100110001101000001100101110  01001  1  1010
# 00111100110001101000001100101110  00100010100010111001101001001001  01001  0  1011
# 00100010100010111001101001001001  10001101011001011011111010011110  10100  1  1100
# 10001101011001011011111010011110  01101010010011010001000011011100  01110  1  1101
# 01101010010011010001000011011100  11010000011000111010111110100110  10101  1  1110
# 11010000011000111010111110100110  10001010010100001011011111001001  01000  1  1111



# 10001010010100001011011111001001  01100100010101101100000001111010  01110  0  0000
# 01100100010101101100000001111010  11100011011111010111000010010000  10111  0  0001
# 11100011011111010111000010010000  10100001000011100101010001011101  11010  1  0010
# 10100001000011100101010001011101  11000101010000110010011011011011  00001  1  0011
# 11000101010000110010011011011011  00010010001100111001010011110101  10010  0  0100
# 00010010001100111001010011110101  11100110100011010011000010001111  01010  1  0101
# 11100110100011010011000010001111  01010100001000011110001001001000  00001  0  0110
# 01010100001000011110001001001000  01111000101001001000000101010101  10010  1  0111
# 01111000101001001000000101010101  10000110100001101010000101111101  11000  0  1000
# 10000110100001101010000101111101  01011111000101000011000100000110  11111  0  1001
# 01011111000101000011000100000110  10010001111110010111001000110100  11000  1  1010
# 10010001111110010111001000110100  10101010010111101101100000011011  11010  0  1011
# 10101010010111101101100000011011  11010001111101000100011110011011  10101  1  1100
# 11010001111101000100011110011011  00010110000101011000001000001010  10011  0  1101
# 00010110000101011000001000001010  00010001111111110101001110110101  01110  0  1110
# 00010001111111110101001110110101  01111001001000010101100110000101  00110  0  1111


# the test can then be run by hand from the GUI or in a shell: 
# java -jar .\logisim-evolution.jar -testvector .\circuit_name .\test_vector_name.txt .\file_name.circ
